,Müll,-2,rubbish,-2.1,Everything from here until liwc is added by George Paltoglou,N_lemma
143,Casual,2.0,casual,2,,
144,beiläufig,2.0,casually,2,,
145,beilaeufig,2.0,casually,2,,
146,bestimmte*,2.0,certain*,2,,
147,Herausford*,2.0,challeng*,2,,
148,champio*,2.0,champ*,2  //118block champ*,,
149,Charit*,2.0,charit*,2,,
150,Charme*,2.0,charm*,2,,
151,betrüg*,-3.0,cheat*,-3,,
152,betrueg*,-3.0,cheat*,-3,,
153,Betrug*,-3.0,cheat*,-3,,
154,jubeln,2.0,cheer*,2,,V_lemma
155,hegen*,3.0,cherish*,3,,
156,kichern,3.0,chuckl*,3,,V_lemma
157,clever*,1.0,clever*,1,,
158,komöd*,1.0,comed*,1,,
159,komoed*,1.0,comed*,1,,
160,Komfort*,1.0,comfort*,1,,
161,Engagement*,2.0,commitment*,2,,
162,Mitgefühl*,2.0,compassion*,2,,
163,Mitgefuehl*,2.0,compassion*,2,,
164,beschwer*,-2.0,complain*,-2,,
165,Kompliment*,2.0,compliment*,2,,
166,Vertrauen,2.0,confidence,2,,
167,zuversichtlich*,2.0,confident,2,,
168,selbstbewußt*,2.0,confidently,2,,
169,selbstbewusst*,2.0,confidently,2,,
170,konfront*,-3.0,confront*,-3,,
171,konfus*,-2.0,confus*,-2,,
172,rücksichtsvoll*,2.0,considerate,2,,
173,ruecksichtsvoll*,2.0,considerate,2,,
174,Verachtung*,-4.0,contempt*,-4,,
175,Geringschätz*,-4.0,contempt*,-4,,
176,Geringschaetz*,-4.0,contempt*,-4,,
177,Geringacht*,-4.0,contempt*,-4,,
178,Zufriedenheit,2.0,contentment,1,,N_lemma
179,Behagen,1.0,contentment,1,,
180,Wohlbehagen,3.0,contentment,1,,
181,zufrieden,2.0,contentment,1,,A_lemma
182,Widerspr*,-2.0,contradic*,-2,,
183,überzeugende*,2.0,convinc*,2,,
184,ueberzeugende*,2.0,convinc*,2,,
185,cool*,2.0,cool,2,,
186,coolst*,3.0,coolest,3,ur da coolest mom ever!!,
187,courag*,2.0,courag*,2,,
188,Mist,-3.0,crap,-3,,
189,Scheiß*,-3.0,crappy,-3,,
190,Scheiss*,-3.0,crappy,-3,,
