Mitgefuehl*	2	compassion*	2		
beschwer*	-2	complain*	-2		
Kompliment*	2	compliment*	2		
Vertrauen	2	confidence	2		
zuversichtlich*	2	confident	2		
selbstbewußt*	2	confidently	2		
selbstbewusst*	2	confidently	2		
konfront*	-3	confront*	-3		
konfus*	-2	confus*	-2		
rücksichtsvoll*	2	considerate	2		
ruecksichtsvoll*	2	considerate	2		
Verachtung*	-4	contempt*	-4		
Geringschätz*	-4	contempt*	-4		
Geringschaetz*	-4	contempt*	-4		
Geringacht*	-4	contempt*	-4		
Zufriedenheit	2	contentment	1		N_lemma
Behagen	1	contentment	1		
Wohlbehagen	3	contentment	1		
zufrieden	2	contentment	1		A_lemma
Widerspr*	-2	contradic*	-2		
überzeugende*	2	convinc*	2		
ueberzeugende*	2	convinc*	2		
cool*	2	cool	2		
coolst*	3	coolest	3	ur da coolest mom ever!!	
courag*	2	courag*	2		
Mist	-3	crap	-3		
Scheiß*	-3	crappy	-3		
Scheiss*	-3	crappy	-3		
Unsinn	-3	crappy	-3		
bullshi*	-3	crappy	-3		
verrück*	-1	craz*	-1		
verrueck*	-1	craz*	-1		
erstell*	2	create*	2		
kreati*	2	creati*	2		
glaubhaf*	2	credit*	2		
glaubwürd*	2	credit*	2		
glaubwuerd*	2	credit*	2		
geweint	-4	cried	-4		
geschrie*	-4	cried	-4		
weinen	-3	cried?			V_lemma
schreit	-3	cries	-3		
schreien	-3	cries	-3		V_lemma
kritisch*	-2	critical	-2		
Roh*	-2	crude*	-2		
grausam*	-4	cruel*	-4		
zerdrück*	-1	crushed	-1		
zerdrueck*	-1	crushed	-1		
schwärm*	-1	get a crush on...			
schwaerm*	-1	get a crush on...			
Schrei	-4	cry	-4		
Schreien	-4	crying	-4		
Fotze*	-4	cunt*	-4		
Möße*	-4	cunt*	-4		
Moesse*	-4	cunt*	-4		
schneide*	-2	cut	-2		
schnittt	-2	cut	-2		
süß*	3	cute*	3		
suess*	3	cute*	3		
hübsch*	3	cute*	3		
huebsch*	3	cute*	3		
Zyniker*	-2	cynic*	-2		
zynis*	-2	cynic*	-2		
Schadensereignisse*	-1	damag*	-1		
verdammt*	-2	damn*	-2		
Gefahr*	-1	danger*	-1		
Gefähr*	-1	danger*	-1		
Gefaehr*	-1	danger*	-1		
kühn*	1	daring	1		
kuehn*	1	daring	1		
Liebling*	3	darlin*	3		
schwummr*	-2	daze*	-2		
benommen*	-2	daze*	-2		
betäub*	-2	daze*	-2		
betaeub*	-2	daze*	-2		
liebe*	2	dear*	2		
Zerfall*	-1	decay*	-1		
Niedergang	-1	decay*	-1		N_lemma
Niederlage	-1	defeat*	-1		N_lemma
Defekt*	-1	defect*	-1		
abwehr*	-1	defenc*	-1		
abgewehr*	-1	defenc*	-1		
defensiv*	-1	defens*	-1		
Verfall	-2	degrad*	-2		N_lemma
verfallen	-2	degrad*			V_lemma
erfreulich*	3	delectabl*	3		
köstlich*	3	delectabl*	3		
koestlich*	3	delectabl*	3		
zart*	2	delicate*	2		
zärtl*	2	delicate*	2		
